date,sudoku,time,difficulty,alg2,version
2022-07-30 12:00:21.266729,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00401,1,False,v2.11
2022-07-30 12:00:21.278413,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00666,1,True,v2.11
2022-07-30 12:00:21.282279,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00302,1,False,v2.11
2022-07-30 12:00:21.286726,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00344,1,True,v2.11
2022-07-30 12:00:21.337949,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.05011,9,False,v2.11
2022-07-30 12:00:21.349955,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.00953,1,True,v2.11
2022-07-30 12:00:21.355311,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00274,1,False,v2.11
2022-07-30 12:00:21.360243,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00319,1,True,v2.11
2022-07-30 12:00:23.212555,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",1.85058,1220,False,v2.11
2022-07-30 12:00:23.378120,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",0.16452,94,True,v2.11
2022-07-30 12:00:23.559232,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.18019,144,False,v2.11
2022-07-30 12:00:23.653647,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.09353,42,True,v2.11
2022-07-30 12:00:43.044103,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",19.38937,15778,False,v2.11
2022-07-30 12:00:43.052175,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",0.00706,1,True,v2.11
2022-07-30 12:07:56.902726,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00251,1,False,v2.11
2022-07-30 12:07:56.905868,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00199,1,True,v2.11
2022-07-30 12:07:56.908295,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.0016,1,False,v2.11
2022-07-30 12:07:56.910431,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00138,1,True,v2.11
2022-07-30 12:07:56.927742,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.0166,8,False,v2.11
2022-07-30 12:07:56.935400,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.0066,1,True,v2.11
2022-07-30 12:07:56.939420,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00281,1,False,v2.11
2022-07-30 12:07:56.942777,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00175,1,True,v2.11
2022-07-30 12:08:00.062322,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",3.1185,2417,False,v2.11
2022-07-30 12:08:00.585560,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",0.52236,265,True,v2.11
2022-07-30 12:08:00.835475,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.24898,152,False,v2.11
2022-07-30 12:08:00.955469,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.11667,56,True,v2.11
2022-07-30 12:08:04.283578,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",3.32722,2162,False,v2.11
2022-07-30 12:08:04.295652,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",0.01098,1,True,v2.11
2022-07-30 12:16:00.110191,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00549,1,False,v2.11
2022-07-30 12:16:00.117011,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00542,1,True,v2.11
2022-07-30 12:16:00.121167,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.0025,1,False,v2.11
2022-07-30 12:16:00.124943,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00259,1,True,v2.11
2022-07-30 12:16:00.141366,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.0155,6,False,v2.11
2022-07-30 12:16:00.152338,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00183,2,False,v2.11
2022-07-30 12:16:00.155211,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00187,1,True,v2.11
2022-07-30 12:16:03.310645,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",3.15444,1895,False,v2.11
2022-07-30 12:16:03.703085,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.15846,225,False,v2.11
2022-07-30 12:16:10.766133,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",7.02791,3887,False,v2.11
2022-07-30 12:21:44.802988,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00344,1,False,v2.11
2022-07-30 12:21:44.808983,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00476,1,True,v2.11
2022-07-30 12:21:44.813598,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00371,1,False,v2.11
2022-07-30 12:21:44.817967,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00345,1,True,v2.11
2022-07-30 12:21:44.849154,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.03036,10,False,v2.11
2022-07-30 12:21:44.859979,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00366,2,False,v2.11
2022-07-30 12:21:44.864625,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00363,1,True,v2.11
2022-07-30 12:21:48.196568,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",3.32947,1719,False,v2.11
2022-07-30 12:21:48.484269,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.02946,130,False,v2.11
2022-07-30 12:21:52.997328,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",4.4589,2241,False,v2.11
2022-07-30 12:23:46.585288,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.0029,1,False,v2.11
2022-07-30 12:23:46.591375,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00478,1,True,v2.11
2022-07-30 12:23:46.598604,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00517,1,False,v2.11
2022-07-30 12:23:46.606269,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00357,1,True,v2.11
2022-07-30 12:23:46.649302,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.03468,8,False,v2.11
2022-07-30 12:23:46.666320,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00235,2,False,v2.11
2022-07-30 12:23:46.670958,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00368,1,True,v2.11
2022-07-30 12:23:50.886359,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",4.21404,2520,False,v2.11
2022-07-30 12:23:51.338121,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.25705,206,False,v2.11
2022-07-30 12:23:55.647459,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",4.2685,3047,False,v2.11
2022-07-30 12:25:34.374751,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00447,1,False,v2.11
2022-07-30 12:25:34.386227,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00499,1,True,v2.11
2022-07-30 12:25:34.392615,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00473,1,False,v2.11
2022-07-30 12:25:34.407071,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00447,1,True,v2.11
2022-07-30 12:25:34.448649,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.03397,9,False,v2.11
2022-07-30 12:25:34.482286,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00337,5,False,v2.11
2022-07-30 12:25:34.488172,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00445,1,True,v2.11
2022-07-30 12:25:36.707626,"""800000000003600000070090200050007000000045700000100030001000068008500010090000400""",2.21719,1084,False,v2.11
2022-07-30 12:25:37.034690,"""005300000800000020070010500400005300010070006003200080060500009004000030000009700""",0.2161,151,False,v2.11
2022-07-30 12:25:54.526243,"""000000000000003085001020000000507000004000100090000000500000073002010000000040009""",17.47497,11155,False,v2.11
2022-07-30 12:29:46.418334,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00454,1,False,v2.11
2022-07-30 12:29:46.423884,"""003020600900305001001806400008102900700000008006708200002609500800203009005010300""",0.00444,1,True,v2.11
2022-07-30 12:29:46.428442,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00319,1,False,v2.11
2022-07-30 12:29:46.432773,"""005306078200407005000009106008002034040030010130700500709800000800604001450203600""",0.00323,1,True,v2.11
2022-07-30 12:29:46.456109,"""069800500000000103400000020000170000080006000307020004000040200630000000850000000""",0.0221,6,False,v2.11
2022-07-30 12:29:46.478870,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00219,5,False,v2.11
2022-07-30 12:29:46.483095,"""006080300049070250000405000600317004007000800100826009000702000075040190003090600""",0.00333,1,True,v2.11
